date,min,max,pm25,q1,q3,stdev,count
2025-07-28T00:00:00.000Z,1.27,6.03,2.6,2.2,3.03,0.81,591
2025-07-29T00:00:00.000Z,1.35,12,2.7,1.98,3.3,1.043,592
2025-07-30T00:00:00.000Z,1.4,7.15,2.6,2.17,3.2,0.76,592
2025-07-31T00:00:00.000Z,1.2,7.53,2.29,1.63,3,0.937,589
2025-08-01T00:00:00.000Z,1.08,6.32,2.1,1.8,3,1.022,587
2025-08-02T00:00:00.000Z,1.1,12.2,3.17,1.98,4.25,1.543,592
2025-08-03T00:00:00.000Z,0.7,6.07,1.6,1.2,3.65,1.386,592
2025-08-04T00:00:00.000Z,0.8,24.42,2,1.5,3.85,1.662,587
2025-08-05T00:00:00.000Z,1.2,9.05,2.29,1.9,3.1,1.541,564
2025-08-06T00:00:00.000Z,1.5,6.7,2.33,2.1,2.58,0.383,525
2025-08-07T00:00:00.000Z,2.1,5.2,3.17,2.85,3.45,0.455,569
2025-08-08T00:00:00.000Z,2.5,6.88,3.47,3.2,4.38,0.851,576
2025-08-09T00:00:00.000Z,1.42,5.65,2.46,2.08,3.25,0.788,568
2025-08-10T00:00:00.000Z,1.1,7,1.97,1.67,3.53,1.332,588
2025-08-11T00:00:00.000Z,1.3,7.03,1.9,1.77,2.1,0.374,591
2025-08-12T00:00:00.000Z,1.85,10.3,4.68,3.32,5.32,1.32,593
2025-08-13T00:00:00.000Z,2.42,7.45,4.8,3.7,5.3,0.928,578
2025-08-14T00:00:00.000Z,2.58,5.93,3.53,3.17,4.44,0.808,512
2025-08-15T00:00:00.000Z,3.67,11.43,6,5.3,7.4,1.367,448
2025-08-16T00:00:00.000Z,0.73,8.38,1.9,1.2,2.65,1.236,571
2025-08-17T00:00:00.000Z,0.6,1.98,1.1,0.9,1.23,0.226,589
2025-08-18T00:00:00.000Z,0.8,6.78,1.17,1.05,1.3,0.311,590
2025-08-19T00:00:00.000Z,1,11.2,2.52,1.73,5.75,2.043,591
2025-08-20T00:00:00.000Z,0.55,8.07,0.98,0.8,1.1,0.424,580
2025-08-21T00:00:00.000Z,0.7,6,1.05,0.92,1.2,0.32,365
2025-08-22T00:00:00.000Z,0.68,1.92,1,0.9,1.14,0.193,379
2025-08-23T00:00:00.000Z,0.5,1.9,0.8,0.7,0.9,0.172,585
2025-08-24T00:00:00.000Z,0.65,2.25,1.3,1.1,1.48,0.271,591
